WTCH_YM,ENN_LNN_MNTH_AVG_ANOMALY,ENN_LNN_3MNTH_AVG_ANOMALY,ENN_LNN_MNTH_AVG_VAL,ENN_LNN_NMYR_AVG,ENN_LNN_NMYR_STDDEV_VAL,UOM_NM
198201,0.088928,,26.583536,26.494608,1.164648,deg C
198202,-0.212666,-0.089889,26.455164,26.667831,1.007264,deg C
198203,-0.145928,-0.115649,27.034367,27.180296,0.817327,deg C
198204,0.011649,0.116397,27.782887,27.771236,0.657626,deg C
198205,0.483469,0.382832,28.324877,27.841408,0.614643,deg C
198206,0.653379,0.470003,28.318243,27.664865,0.627709,deg C
198207,0.273161,0.607854,27.516779,27.243618,0.677102,deg C
198208,0.897021,0.820998,27.73235,26.835327,0.818931,deg C
198209,1.292811,1.33568,27.988077,26.695267,0.834961,deg C
198210,1.817209,1.624779,28.516157,26.69895,1.01164,deg C
198211,1.764318,1.9594,28.520609,26.75629,1.177667,deg C
198212,2.296673,2.095003,28.873512,26.57684,1.219633,deg C
198301,2.224018,2.137283,28.718626,26.494608,1.164648,deg C
198302,1.891158,1.804194,28.558989,26.667831,1.007264,deg C
198303,1.297407,1.307962,28.477701,27.180296,0.817327,deg C
198304,0.73532,0.914678,28.506557,27.771236,0.657626,deg C
198305,0.711307,0.635261,28.552713,27.841408,0.614643,deg C
198306,0.459156,0.26126,28.124022,27.664865,0.627709,deg C
198307,-0.386681,-0.139156,26.856937,27.243618,0.677102,deg C
198308,-0.489944,-0.434771,26.345385,26.835327,0.818931,deg C
198309,-0.427689,-0.666702,26.267578,26.695267,0.834961,deg C
198310,-1.082472,-0.962588,25.616476,26.69895,1.01164,deg C
198311,-1.377603,-1.229252,25.378689,26.75629,1.177667,deg C
198312,-1.22768,-1.203768,25.34916,26.57684,1.219633,deg C
198401,-1.00602,-0.796868,25.488588,26.494608,1.164648,deg C
198402,-0.156905,-0.568359,26.510925,26.667831,1.007264,deg C
198403,-0.542153,-0.414138,26.638142,27.180296,0.817327,deg C
198404,-0.543356,-0.600622,27.22788,27.771236,0.657626,deg C
198405,-0.716357,-0.781637,27.125051,27.841408,0.614643,deg C
198406,-1.085199,-0.83652,26.579666,27.664865,0.627709,deg C
198407,-0.708003,-0.779492,26.535616,27.243618,0.677102,deg C
198408,-0.545274,-0.558384,26.290054,26.835327,0.818931,deg C
198409,-0.421875,-0.58062,26.273392,26.695267,0.834961,deg C
198410,-0.77471,-0.856427,25.924238,26.69895,1.01164,deg C
198411,-1.372697,-1.22787,25.383595,26.75629,1.177667,deg C
198412,-1.536204,-1.413795,25.040636,26.57684,1.219633,deg C
198501,-1.332486,-1.26982,25.162123,26.494608,1.164648,deg C
198502,-0.940769,-1.060456,25.727062,26.667831,1.007264,deg C
198503,-0.908114,-0.996926,26.27218,27.180296,0.817327,deg C
198504,-1.141895,-1.053069,26.629341,27.771236,0.657626,deg C
198505,-1.109197,-1.11893,26.73221,27.841408,0.614643,deg C
198506,-1.105699,-1.006268,26.559166,27.664865,0.627709,deg C
198507,-0.803909,-0.84809,26.439709,27.243618,0.677102,deg C
198508,-0.634664,-0.743991,26.200665,26.835327,0.818931,deg C
198509,-0.793399,-0.726078,25.901869,26.695267,0.834961,deg C
198510,-0.750171,-0.708026,25.948778,26.69895,1.01164,deg C
198511,-0.580508,-0.639783,26.175783,26.75629,1.177667,deg C
198512,-0.58867,-0.63217,25.988169,26.57684,1.219633,deg C
198601,-0.727331,-0.708658,25.767277,26.494608,1.164648,deg C
198602,-0.809973,-0.716325,25.857859,26.667831,1.007264,deg C
198603,-0.61167,-0.651965,26.568624,27.180296,0.817327,deg C
198604,-0.534251,-0.575721,27.236986,27.771236,0.657626,deg C
198605,-0.581242,-0.483146,27.260166,27.841408,0.614643,deg C
